Time,AB46,AB46,AB46,AB46,AB47,AB47,AB47,AB47
Time,NO2,PM1,PM2.5,PM10,NO2,PM1,PM2.5,PM10
[UTC],[ug/m-3],[ug/m-3],[ug/m-3],[ug/m-3],[ug/m-3],[ug/m-3],[ug/m-3],[ug/m-3]
06-06-16 00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 02:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 03:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 04:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 05:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 06:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 07:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 08:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 09:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 11:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 12:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 13:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 14:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 15:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 16:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 17:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 18:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 20:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 21:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06-06-16 22:00,13.6694,4.6189,8.8686,22.6504,NaN,NaN,NaN,NaN
06-06-16 23:00,17.0299,4.9692,9.1241,22.498,NaN,NaN,NaN,NaN
07-06-16 00:00,18.0006,5.4216,9.8942,25.0329,0.67579,5.5812,11.1193,30.4342
07-06-16 01:00,12.0413,5.5281,10.4413,28.1565,2.9694,5.7964,12.0206,34.1666
07-06-16 02:00,12.753,5.7873,10.5704,26.8454,5.2282,5.938,11.6046,34.8098
07-06-16 03:00,13.5055,5.6973,10.8505,27.2322,6.6473,5.9249,11.8286,36.8019
07-06-16 04:00,23.1857,5.7879,11.1372,26.5859,20.5993,6.1052,12.3556,38.4759
07-06-16 05:00,42.2164,7.2324,12.9853,31.1872,21.9693,7.576,14.5005,40.9803
07-06-16 06:00,44.7373,7.0151,13.4641,31.5986,22.7618,6.829,13.576,38.8787
07-06-16 07:00,40.2279,6.149,11.8936,28.1437,15.7397,6.2778,12.615,34.7075
07-06-16 08:00,35.3561,6.1306,11.0525,29.5878,13.9049,6.2248,12.8148,32.4794
07-06-16 09:00,36.6032,4.5938,8.6466,22.9081,14.0687,4.9014,9.9768,26.2548
07-06-16 10:00,36.1854,3.2762,5.4204,13.8224,11.4372,3.2747,5.126,17.0932
07-06-16 11:00,44.6943,2.9324,4.5509,8.9039,9.717,2.8715,4.3259,12.9999
07-06-16 12:00,47.2643,3.7512,6.5303,15.7323,10.7758,3.7683,6.5634,17.7403
07-06-16 13:00,47.6124,3.9789,6.4735,17.9526,13.5465,3.7798,6.4027,17.1613
07-06-16 14:00,47.7558,3.8615,6.5183,18.407,14.5479,3.6468,6.0862,15.7072
07-06-16 15:00,54.6222,3.4357,5.7284,18.156,23.0588,3.4339,5.6243,17.0468
07-06-16 16:00,51.2166,3.378,5.4109,17.251,18.0543,3.3471,5.2209,13.7342
07-06-16 17:00,47.7353,3.5833,5.478,12.5276,13.7513,3.8307,5.9292,13.8529
07-06-16 18:00,43.5167,4.3096,7.2651,17.5021,14.7936,4.3725,6.8141,18.8938
07-06-16 19:00,33.4925,4.5035,7.3068,21.0458,16.6285,4.2291,7.0247,19.5949
07-06-16 20:00,28.5613,4.6265,7.4191,19.9492,19.1556,4.4049,6.8305,19.2911
07-06-16 21:00,22.1372,4.0565,6.7508,17.0141,17.8214,4.1017,6.3446,17.1474
07-06-16 22:00,25.8489,4.0525,6.484,17.0427,18.5658,4.0041,6.6175,17.1514
07-06-16 23:00,16.5773,4.1009,6.5532,19.6349,14.7015,3.8835,5.9695,17.2425
08-06-16 00:00,11.556,3.8752,6.2214,16.2012,15.021,3.8606,6.3067,15.0102
