localTime,ggd,ggd_os,ecn_AB46,ecn_AB47,waag_1184527,waag_1184739,waag_1183931,waag_53788,waag_26296,waag_1184206,waag_1185325,waag_54200,waag_1184453,waag_717780,waag_55303,waag_55300,waag_13905017,waag_14560051,waag_1184838,waag_54911
2016-06-02 00:00:00+02:00, 14.100,  9.700,,,,,,,,,,,,,,,,,,
2016-06-02 01:00:00+02:00, 14.900,  8.200,,, 27.816, 24.327, 22.071, 24.296, 19.110, -0.902, 27.648, 22.098, 20.672, 20.500, 19.073, 20.239, 21.155,  5.934, 20.174, 20.300
2016-06-02 02:00:00+02:00, 14.500,  7.000,,, 25.732, 23.150, 21.111, 22.648, 17.548,  2.604, 25.268, 21.234, 19.111, 18.979, 17.445, 18.705, 19.477,  9.161, 18.069, 18.759
2016-06-02 03:00:00+02:00, 12.000,  4.800,,, 20.847, 18.171, 17.839, 18.387, 13.788,  6.490, 21.383, 16.845, 14.985, 15.032, 13.418, 14.797, 17.357, 11.712, 13.571, 14.035
2016-06-02 04:00:00+02:00,  9.300,  3.500,,, 16.523, 14.606, 14.313, 13.922, 10.680,  3.913, 18.356, 13.536, 12.250, 12.287, 10.344, 11.884, 13.867, 10.924, 12.283, 11.239
2016-06-02 05:00:00+02:00,  8.600,  2.700,,, 16.011, 13.704, 13.036, 12.143,  9.413,  3.523, 16.055, 11.787, 10.209, 11.151,  8.816, 10.801, 12.132, 11.885,  9.549,  9.573
2016-06-02 06:00:00+02:00,  7.100,  3.700,,, 13.594, 11.135, 11.188, 10.135,  8.187,  3.798, 15.676, 10.862,  8.674,  9.717,  8.513, 10.126, 10.622, 12.284,  8.662,  8.670
2016-06-02 07:00:00+02:00, 13.800, 10.500,,, 18.445, 16.580,, 15.490, 13.524,  7.646,, 15.885, 14.081, 14.962, 13.513, 14.738, 15.505, 14.288, 13.875, 14.090
2016-06-02 08:00:00+02:00, 19.000, 17.500,,, 23.054, 21.577,, 20.821, 18.265, 11.892,, 20.672, 18.273, 19.843, 18.927, 19.550, 19.975, 16.663, 17.979, 18.631
2016-06-02 09:00:00+02:00, 23.100, 22.600,,, 25.226, 23.501, 24.493, 24.093, 20.806, 12.692, 25.542, 23.238, 21.140, 21.859, 21.041, 20.777, 22.009, 17.658, 20.509, 21.332
2016-06-02 10:00:00+02:00, 19.000, 20.000,,, 19.080, 18.705, 18.576, 17.915, 16.303, 10.928, 20.574, 17.884, 16.143, 16.673, 16.530, 16.873, 17.844, 17.695, 17.663, 16.645
2016-06-02 11:00:00+02:00, 19.000, 19.600,,, 20.571, 19.748, 19.723, 19.086, 17.457, 12.893, 23.221, 19.032, 17.181, 18.349, 17.539, 18.205, 18.687, 18.652, 18.723, 17.801
2016-06-02 12:00:00+02:00, 24.700, 18.400,,, 26.666, 24.892, 24.402, 24.717, 23.010, 13.504, 26.742, 24.461, 21.871, 23.198, 23.649, 23.564, 21.362, 18.389, 23.633, 23.204
