Kit,id,ISB_serial_num,WE_zero_Electro,WE_zero_total,Aux_zero_Electro,Aux_zero_total,WE_sens_Electro,WE_sens_total
0,53788,202300246,232,232,233,230,-328,-276
1,13905017,202300256,226,227,231,231,-392,-286
2,54911,202300259,234,236,225,225,-359,-262
3,55300,202300248,237,242,226,230,-406,-296
4,54200,202300247,232,236,227,229,-387,-283
5,1184838,202300252,225,226,222,224,-390,-285
6,1184739,202300255,245,245,227,225,-378,-276
7,55303,202300250,231,234,255,256,-373,-272
8,26296,202300253,228,230,230,238,-399,-291
9,1184527,202300254,230,232,233,234,-392,-286
10,1183931,202300249,231,235,232,231,-383,-280
11,1185325,202300258,242,244,224,223,-355,-259
12,1184453,202300251,234,232,237,234,-357,-261
13,717780,202300257,231,234,219,219,-370,-270
14,1184206,202300257,231,234,219,219,-370,-270
15,14560051,202300257,231,234,219,219,-370,-270
